6/1/2023,74.28
5/31/2023,72.60
5/30/2023,73.71
5/29/2023,77.07
5/26/2023,76.95
5/25/2023,76.26
5/24/2023,78.36
5/23/2023,77.70
5/22/2023,75.99
5/19/2023,75.58
5/18/2023,75.86
5/17/2023,76.96
5/16/2023,74.91
5/15/2023,75.23
5/12/2023,74.17
5/11/2023,74.98
5/10/2023,76.41
5/9/2023,77.44
5/8/2023,77.01
5/5/2023,75.30
5/4/2023,72.50
5/3/2023,72.33
5/2/2023,75.32
5/1/2023,79.31
4/28/2023,80.33
4/27/2023,78.22
4/26/2023,77.69
4/25/2023,80.77
4/24/2023,82.73
4/21/2023,81.66
4/20/2023,81.10
4/19/2023,83.12
4/18/2023,84.77
4/17/2023,84.76
4/14/2023,86.31
4/13/2023,86.09
4/12/2023,87.33
4/11/2023,85.61
4/10/2023,84.18
4/6/2023,85.12
4/5/2023,84.99
4/4/2023,84.94
4/3/2023,84.93
3/31/2023,79.89
3/30/2023,78.60
3/29/2023,78.28
3/28/2023,78.65
3/27/2023,78.12
3/24/2023,74.99
3/23/2023,75.91
3/22/2023,76.69
3/21/2023,75.32
3/20/2023,73.79
3/17/2023,72.97
3/16/2023,74.70
3/15/2023,73.69
3/14/2023,77.45
3/13/2023,80.77
3/10/2023,82.78
3/9/2023,81.59
3/8/2023,82.66
3/7/2023,83.29
3/6/2023,86.18
3/3/2023,85.83
3/2/2023,84.75
3/1/2023,84.31
2/28/2023,83.45
2/27/2023,82.04
2/24/2023,83.16
2/23/2023,82.21
2/22/2023,80.60
2/21/2023,83.05
2/20/2023,84.07
2/17/2023,83.00
2/16/2023,85.14
2/15/2023,85.38
2/14/2023,85.58
2/13/2023,86.61
2/10/2023,86.39
2/9/2023,84.50
2/8/2023,85.09
2/7/2023,83.69
2/6/2023,80.99
2/3/2023,79.94
2/2/2023,82.17
2/1/2023,82.84
1/31/2023,85.46
1/30/2023,84.50
1/27/2023,86.66
1/26/2023,87.47
1/25/2023,86.12
1/24/2023,86.13
1/23/2023,88.19
1/20/2023,87.63
1/19/2023,86.16
1/18/2023,84.98
1/17/2023,85.92
1/16/2023,84.46
1/13/2023,85.28
1/12/2023,84.03
1/11/2023,82.67
1/10/2023,80.10
1/9/2023,79.65
1/6/2023,78.57
1/5/2023,78.69
1/4/2023,77.84
1/3/2023,82.10
12/30/2022,85.91
12/29/2022,83.46
12/28/2022,83.99
12/27/2022,84.33
12/23/2022,83.92
12/22/2022,80.98
12/21/2022,82.20
12/20/2022,79.99
12/19/2022,79.80
12/16/2022,79.04
12/15/2022,81.21
12/14/2022,82.70
12/13/2022,80.68
12/12/2022,77.99
12/9/2022,76.10
12/8/2022,76.15
12/7/2022,77.17
12/6/2022,79.35
12/5/2022,82.68
12/2/2022,85.57
12/1/2022,86.88
11/30/2022,86.97
11/29/2022,83.03
11/28/2022,83.19
11/25/2022,83.63
11/24/2022,85.34
11/23/2022,85.41
11/22/2022,88.36
11/21/2022,87.45
11/18/2022,87.62
11/17/2022,89.78
11/16/2022,92.86
11/15/2022,93.86
11/14/2022,93.14
11/11/2022,95.99
11/10/2022,93.67
11/9/2022,92.65
11/8/2022,95.36
11/7/2022,97.92
11/4/2022,98.57
11/3/2022,94.67
11/2/2022,96.16
11/1/2022,94.65
10/31/2022,92.81
10/28/2022,95.77
10/27/2022,96.96
10/26/2022,95.69
10/25/2022,93.52
10/24/2022,93.26
10/21/2022,93.50
10/20/2022,92.38
10/19/2022,92.41
10/18/2022,90.03
10/17/2022,91.62
10/14/2022,91.63
10/13/2022,94.57
10/12/2022,92.45
10/11/2022,94.29
10/10/2022,96.19
10/7/2022,97.92
10/6/2022,94.42
10/5/2022,93.37
10/4/2022,91.80
10/3/2022,88.86
9/30/2022,85.14
9/29/2022,88.49
9/28/2022,89.32
9/27/2022,86.27
9/26/2022,84.06
9/23/2022,86.15
9/22/2022,90.46
9/21/2022,89.83
9/20/2022,90.62
9/19/2022,92.00
9/16/2022,91.35
9/15/2022,90.84
9/14/2022,94.10
9/13/2022,93.17
9/12/2022,94.00
9/9/2022,92.84
9/8/2022,89.15
9/7/2022,88.00
9/6/2022,92.83
9/5/2022,95.74
9/2/2022,93.02
9/1/2022,92.36
8/31/2022,95.64
8/30/2022,99.31
8/29/2022,105.09
8/26/2022,100.99
8/25/2022,99.34
8/24/2022,101.22
8/23/2022,100.22
8/22/2022,96.48
8/19/2022,96.72
8/18/2022,96.59
8/17/2022,93.65
8/16/2022,92.34
8/15/2022,95.10
8/12/2022,98.15
8/11/2022,99.60
8/10/2022,97.40
8/9/2022,96.31
8/8/2022,96.65
8/5/2022,94.92
8/4/2022,94.12
8/3/2022,96.78
8/2/2022,100.54
8/1/2022,100.03
7/29/2022,103.97
7/28/2022,107.14
7/27/2022,106.62
7/26/2022,104.40
7/25/2022,105.15
7/22/2022,103.20
7/21/2022,103.86
7/20/2022,106.92
7/19/2022,107.35
7/18/2022,106.27
7/15/2022,101.16
7/14/2022,99.10
7/13/2022,99.57
7/12/2022,99.49
7/11/2022,107.10
7/8/2022,107.02
7/7/2022,104.65
7/6/2022,100.69
7/5/2022,102.77
7/4/2022,113.50
7/1/2022,111.63
6/30/2022,114.81
6/29/2022,116.26
6/28/2022,117.98
6/27/2022,115.09
6/24/2022,113.12
6/23/2022,110.05
6/22/2022,111.74
6/21/2022,114.65
6/20/2022,114.13
6/17/2022,113.12
6/16/2022,119.81
6/15/2022,118.51
6/14/2022,121.17
6/13/2022,122.27
6/10/2022,122.01
6/9/2022,123.07
6/8/2022,123.58
6/7/2022,120.57
6/6/2022,119.51
6/3/2022,119.72
6/2/2022,117.61
6/1/2022,116.29
5/31/2022,122.84
5/30/2022,121.67
5/27/2022,119.43
5/26/2022,117.40
5/25/2022,114.03
5/24/2022,113.56
5/23/2022,113.42
5/20/2022,112.55
5/19/2022,112.04
5/18/2022,109.11
5/17/2022,111.93
5/16/2022,114.24
5/13/2022,111.55
5/12/2022,107.45
5/11/2022,107.51
5/10/2022,101.90
5/9/2022,105.94
5/6/2022,112.39
5/5/2022,110.90
5/4/2022,110.14
5/3/2022,104.97
5/2/2022,107.58
4/29/2022,107.14
4/28/2022,107.59
4/27/2022,105.32
4/26/2022,104.99
4/25/2022,102.32
4/22/2022,106.65
4/21/2022,108.33
4/20/2022,106.80
4/19/2022,107.25
4/18/2022,113.16
4/15/2022,111.60
4/14/2022,111.70
4/13/2022,108.78
4/12/2022,104.64
4/11/2022,98.48
4/8/2022,102.78
4/7/2022,100.58
4/6/2022,101.07
4/5/2022,106.64
4/4/2022,107.53
4/1/2022,104.39
3/31/2022,107.91
3/30/2022,113.45
3/29/2022,110.23
3/28/2022,112.48
3/25/2022,120.65
3/24/2022,119.03
3/23/2022,121.60
3/22/2022,115.48
3/21/2022,115.62
3/18/2022,107.93
3/17/2022,106.64
3/16/2022,98.02
3/15/2022,99.91
3/14/2022,106.90
3/11/2022,112.67
3/10/2022,109.33
3/9/2022,111.14
3/8/2022,127.98
3/7/2022,123.21
3/4/2022,118.11
3/3/2022,110.46
3/2/2022,112.93
3/1/2022,104.97
2/28/2022,97.97
2/25/2022,97.93
2/24/2022,99.08
2/23/2022,96.84
2/22/2022,96.84
2/21/2022,95.39
2/18/2022,93.61
2/17/2022,92.97
2/16/2022,94.81
2/15/2022,93.28
2/14/2022,96.48
2/11/2022,94.44
2/10/2022,91.41
2/9/2022,91.55
2/8/2022,90.78
2/7/2022,92.69
2/4/2022,93.27
2/3/2022,91.11
2/2/2022,89.47
2/1/2022,89.16
1/31/2022,89.26
1/28/2022,90.03
1/27/2022,89.34
1/26/2022,89.96
1/25/2022,88.20
1/24/2022,86.27
1/21/2022,87.89
1/20/2022,88.38
1/19/2022,88.44
1/18/2022,87.51
1/17/2022,86.48
1/14/2022,86.06
1/13/2022,84.47
1/12/2022,84.67
1/11/2022,83.92
1/10/2022,80.87
1/7/2022,81.75
1/6/2022,81.99
1/5/2022,80.80
1/4/2022,80.00
1/3/2022,78.98
12/31/2021,77.78
12/30/2021,79.53
12/29/2021,79.23
12/28/2021,78.94
12/27/2021,78.60
12/24/2021,76.14
12/23/2021,76.85
12/22/2021,75.29
12/21/2021,73.98
12/20/2021,71.52
12/17/2021,73.52
12/16/2021,75.02
12/15/2021,73.88
12/14/2021,73.70
12/13/2021,74.39
12/10/2021,75.15
12/9/2021,74.42
12/8/2021,75.82
12/7/2021,75.44
12/6/2021,73.08
12/3/2021,69.88
12/2/2021,69.67
12/1/2021,68.87
11/30/2021,69.23
11/29/2021,73.44
11/26/2021,72.72
11/25/2021,82.22
11/24/2021,82.25
11/23/2021,82.31
11/22/2021,79.70
11/19/2021,78.89
11/18/2021,81.24
11/17/2021,80.28
11/16/2021,82.43
11/15/2021,82.05
11/12/2021,82.17
11/11/2021,82.87
11/10/2021,82.64
11/9/2021,84.78
11/8/2021,83.43
11/5/2021,82.74
11/4/2021,80.54
11/3/2021,81.99
11/2/2021,84.72
11/1/2021,84.71
10/29/2021,83.72
10/28/2021,84.32
10/27/2021,84.58
10/26/2021,86.40
10/25/2021,85.99
10/22/2021,85.53
10/21/2021,84.61
10/20/2021,85.82
10/19/2021,85.08
10/18/2021,84.33
10/15/2021,84.86
10/14/2021,84.00
10/13/2021,83.18
10/12/2021,83.42
10/11/2021,83.65
10/8/2021,82.39
10/7/2021,81.95
10/6/2021,81.08
10/5/2021,82.56
10/4/2021,81.26
10/1/2021,79.28
9/30/2021,78.31
9/29/2021,78.64
9/28/2021,79.09
9/27/2021,79.53
9/24/2021,78.09
9/23/2021,77.25
9/22/2021,76.19
9/21/2021,74.36
9/20/2021,73.92
9/17/2021,75.34
9/16/2021,75.67
9/15/2021,75.46
9/14/2021,73.60
9/13/2021,73.51
9/10/2021,72.92
9/9/2021,71.45
9/8/2021,72.60
9/7/2021,71.69
9/6/2021,72.22
9/3/2021,72.61
9/2/2021,73.03
9/1/2021,71.59
8/31/2021,71.63
8/30/2021,73.41
8/27/2021,72.70
8/26/2021,71.07
8/25/2021,72.25
8/24/2021,71.05
8/23/2021,68.75
8/20/2021,65.18
8/19/2021,66.45
8/18/2021,68.23
8/17/2021,69.03
8/16/2021,69.51
8/13/2021,70.59
8/12/2021,71.31
8/11/2021,71.44
8/10/2021,70.63
8/9/2021,69.04
8/6/2021,70.70
8/5/2021,71.29
8/4/2021,70.38
8/3/2021,72.41
8/2/2021,72.89
7/30/2021,75.41
7/29/2021,76.05
7/28/2021,74.74
7/27/2021,74.48
7/26/2021,74.50
7/23/2021,74.10
7/22/2021,73.79
7/21/2021,72.23
7/20/2021,69.35
7/19/2021,68.62
7/16/2021,73.59
7/15/2021,73.47
7/14/2021,74.76
7/13/2021,76.49
7/12/2021,75.16
7/9/2021,75.55
7/8/2021,74.12
7/7/2021,73.43
7/6/2021,74.53
7/5/2021,77.16
7/2/2021,76.17
7/1/2021,75.84
6/30/2021,74.62
6/29/2021,74.76
6/28/2021,74.68
6/25/2021,76.18
6/24/2021,75.56
6/23/2021,75.19
6/22/2021,74.81
6/21/2021,74.90
6/18/2021,73.51
6/17/2021,73.08
6/16/2021,74.39
6/15/2021,73.99
6/14/2021,72.86
6/11/2021,72.69
6/10/2021,72.52
6/9/2021,72.06
6/8/2021,72.22
6/7/2021,71.49
6/4/2021,71.89
6/3/2021,71.31
6/2/2021,71.35
6/1/2021,70.25
5/31/2021,69.32
5/28/2021,68.72
5/27/2021,69.46
5/26/2021,68.87
5/25/2021,68.65
5/24/2021,68.46
5/21/2021,66.44
5/20/2021,65.11
5/19/2021,66.66
5/18/2021,68.71
5/17/2021,69.46
5/14/2021,68.71
5/13/2021,67.05
5/12/2021,69.32
5/11/2021,68.55
5/10/2021,68.32
5/7/2021,68.28
5/6/2021,68.09
5/5/2021,68.96
5/4/2021,68.88
5/3/2021,67.56
4/30/2021,66.76
4/29/2021,68.56
4/28/2021,67.27
4/27/2021,66.42
4/26/2021,65.65
4/23/2021,66.11
4/22/2021,65.40
4/21/2021,65.32
4/20/2021,66.57
4/19/2021,67.05
4/16/2021,66.77
4/15/2021,66.94
4/14/2021,66.58
4/13/2021,63.67
4/12/2021,63.28
4/9/2021,62.95
4/8/2021,63.20
4/7/2021,63.16
4/6/2021,62.74
4/5/2021,62.15
4/1/2021,64.86
3/31/2021,62.74
3/30/2021,64.14
3/29/2021,64.98
3/26/2021,64.57
3/25/2021,61.95
3/24/2021,64.41
3/23/2021,60.79
3/22/2021,64.62
3/19/2021,64.53
3/18/2021,63.28
3/17/2021,68.00
3/16/2021,68.39
3/15/2021,68.88
3/12/2021,69.22
3/11/2021,69.63
3/10/2021,67.90
3/9/2021,67.52
3/8/2021,68.24
3/5/2021,69.36
3/4/2021,66.74
3/3/2021,64.07
3/2/2021,62.70
3/1/2021,63.69
2/26/2021,64.42
2/25/2021,66.88
2/24/2021,67.04
2/23/2021,65.37
2/22/2021,65.24
2/19/2021,62.91
2/18/2021,63.93
2/17/2021,64.34
2/16/2021,63.35
2/15/2021,63.30
2/12/2021,62.43
2/11/2021,61.14
2/10/2021,61.47
2/9/2021,61.09
2/8/2021,60.56
2/5/2021,59.34
2/4/2021,58.84
2/3/2021,58.46
2/2/2021,57.46
2/1/2021,56.35
1/29/2021,55.04
1/28/2021,55.53
1/27/2021,55.81
1/26/2021,55.91
1/25/2021,55.88
1/22/2021,55.41
1/21/2021,56.10
1/20/2021,56.08
1/19/2021,55.90
1/18/2021,54.75
1/15/2021,55.10
1/14/2021,56.42
1/13/2021,56.06
1/12/2021,56.58
1/11/2021,55.66
1/8/2021,55.99
1/7/2021,54.57
1/6/2021,54.30
1/5/2021,53.60
1/4/2021,51.09
12/31/2020,51.80
12/30/2020,51.34
12/29/2020,51.09
12/28/2020,50.86
12/24/2020,51.29
12/23/2020,51.20
12/22/2020,50.08
12/21/2020,50.91
12/18/2020,52.26
12/17/2020,51.50
12/16/2020,51.08
12/15/2020,50.76
12/14/2020,50.29
12/11/2020,49.97
12/10/2020,50.25
12/9/2020,48.86
12/8/2020,48.84
12/7/2020,48.79
12/4/2020,49.25
12/3/2020,48.71
12/2/2020,48.25
12/1/2020,47.42
11/30/2020,47.59
11/27/2020,48.18
11/26/2020,47.80
11/25/2020,48.61
11/24/2020,47.86
11/23/2020,46.06
11/20/2020,44.96
11/19/2020,44.20
11/18/2020,44.34
11/17/2020,43.75
11/16/2020,43.82
11/13/2020,42.78
11/12/2020,43.53
11/11/2020,43.80
11/10/2020,43.61
11/9/2020,42.40
11/6/2020,39.45
11/5/2020,40.93
11/4/2020,41.23
11/3/2020,39.71
11/2/2020,38.97
10/30/2020,37.94
10/29/2020,37.65
10/28/2020,39.12
10/27/2020,41.20
10/26/2020,40.46
10/23/2020,41.77
10/22/2020,42.46
10/21/2020,41.73
10/20/2020,43.16
10/19/2020,42.62
10/16/2020,42.93
10/15/2020,43.16
10/14/2020,43.32
10/13/2020,42.45
10/12/2020,41.72
10/9/2020,42.85
10/8/2020,43.34
10/7/2020,41.99
10/6/2020,42.65
10/5/2020,41.29
10/2/2020,39.27
10/1/2020,40.93
9/30/2020,40.95
9/29/2020,41.03
9/28/2020,42.43
9/25/2020,41.92
9/24/2020,41.94
9/23/2020,41.77
9/22/2020,41.72
9/21/2020,41.44
9/18/2020,43.15
9/17/2020,43.30
9/16/2020,42.22
9/15/2020,40.53
9/14/2020,39.61
9/11/2020,39.83
9/10/2020,40.06
9/9/2020,40.79
9/8/2020,39.78
9/7/2020,41.90
9/4/2020,42.66
9/3/2020,43.99
9/2/2020,44.43
9/1/2020,45.58
8/31/2020,45.55
8/28/2020,45.05
8/27/2020,45.60
8/26/2020,45.64
8/25/2020,45.86
8/24/2020,45.01
8/21/2020,44.35
8/20/2020,44.90
8/19/2020,45.37
8/18/2020,45.46
8/17/2020,45.37
8/14/2020,44.93
8/13/2020,44.96
8/12/2020,45.43
8/11/2020,44.50
8/10/2020,44.99
8/7/2020,44.40
8/6/2020,45.09
8/5/2020,45.17
8/4/2020,44.43
8/3/2020,44.15
7/31/2020,43.30
7/30/2020,42.94
7/29/2020,43.75
7/28/2020,43.22
7/27/2020,43.41
7/24/2020,43.34
7/23/2020,43.31
7/22/2020,44.29
7/21/2020,44.32
7/20/2020,43.28
7/17/2020,43.14
7/16/2020,43.37
7/15/2020,43.79
7/14/2020,42.90
7/13/2020,42.72
7/10/2020,43.24
7/9/2020,42.35
7/8/2020,43.29
7/7/2020,43.08
7/6/2020,43.10
7/3/2020,42.80
7/2/2020,43.14
7/1/2020,41.91
6/30/2020,41.14
6/29/2020,41.46
6/26/2020,40.71
6/25/2020,41.05
6/24/2020,40.26
6/23/2020,42.63
6/22/2020,43.03
6/19/2020,42.19
6/18/2020,41.46
6/17/2020,40.53
6/16/2020,40.67
6/15/2020,39.79
6/12/2020,38.90
6/11/2020,38.33
6/10/2020,41.22
6/9/2020,40.64
6/8/2020,40.76
6/5/2020,42.30
6/4/2020,39.94
6/3/2020,39.79
6/2/2020,39.60
6/1/2020,38.32
5/29/2020,37.84
5/28/2020,35.29
5/27/2020,34.74
5/26/2020,36.17
5/25/2020,35.53
5/22/2020,35.13
5/21/2020,36.06
5/20/2020,35.75
5/19/2020,34.65
5/18/2020,34.81
5/15/2020,32.50
5/14/2020,31.13
5/13/2020,29.19
5/12/2020,29.98
5/11/2020,29.63
5/8/2020,30.97
5/7/2020,29.46
5/6/2020,29.72
5/5/2020,30.97
5/4/2020,27.20
5/1/2020,26.44
4/30/2020,25.27
4/29/2020,22.54
4/28/2020,20.46
4/27/2020,19.99
4/24/2020,21.44
4/23/2020,21.33
4/22/2020,20.37
4/21/2020,19.33
4/20/2020,25.57
4/17/2020,28.08
4/16/2020,27.82
4/15/2020,27.69
4/14/2020,29.60
4/13/2020,31.74
4/9/2020,31.48
4/8/2020,32.84
4/7/2020,31.87
4/6/2020,33.05
4/3/2020,34.11
4/2/2020,29.94
4/1/2020,24.74
3/31/2020,22.74
3/30/2020,22.76
3/27/2020,24.93
3/26/2020,26.34
3/25/2020,27.45
3/24/2020,27.47
3/23/2020,27.46
3/20/2020,26.98
3/19/2020,28.47
3/18/2020,24.88
3/17/2020,28.62
3/16/2020,29.51
3/13/2020,34.67
3/12/2020,32.66
3/11/2020,35.79
3/10/2020,37.81
3/9/2020,33.44
3/6/2020,45.50
3/5/2020,49.93
3/4/2020,51.40
3/3/2020,51.90
3/2/2020,52.05
2/28/2020,50.52
2/27/2020,52.18
2/26/2020,53.43
2/25/2020,54.95
2/24/2020,56.30
2/21/2020,58.24
2/20/2020,59.31
2/19/2020,59.12
2/18/2020,57.75
2/14/2020,57.32
2/13/2020,56.34
2/12/2020,55.79
2/11/2020,54.01
2/10/2020,53.27
2/7/2020,54.50
2/6/2020,54.93
2/5/2020,55.28
2/4/2020,53.96
2/3/2020,54.45
1/31/2020,56.62
1/30/2020,58.29
1/29/2020,59.81
1/28/2020,59.51
1/27/2020,59.32
1/24/2020,60.69
1/23/2020,62.04
1/22/2020,63.21
1/21/2020,64.58
1/20/2020,65.20
1/17/2020,64.85
1/16/2020,64.62
1/15/2020,64.00
1/14/2020,64.42
1/13/2020,64.23
1/12/2020,64.84
1/10/2020,65.02
1/9/2020,65.34
1/8/2020,64.79
1/7/2020,68.27
1/6/2020,68.91
1/5/2020,69.46
1/3/2020,68.62
1/2/2020,66.25
1/1/2020,66.39
12/31/2019,66.23
12/30/2019,66.61
12/29/2019,66.91
12/27/2019,66.85
12/26/2019,66.76
12/25/2019,66.14
12/24/2019,66.01
12/23/2019,65.48
12/20/2019,65.04
12/19/2019,66.55
12/18/2019,66.16
12/17/2019,65.86
12/16/2019,65.34
12/15/2019,65.02
12/13/2019,64.89
12/12/2019,64.53
12/11/2019,63.97
12/10/2019,64.13
12/9/2019,64.00
12/8/2019,64.29
12/6/2019,64.29
12/5/2019,63.31
12/4/2019,63.12
12/3/2019,61.13
12/2/2019,61.02
12/1/2019,61.10
11/29/2019,60.56
11/28/2019,63.12
11/27/2019,63.94
11/26/2019,64.10
11/25/2019,63.59
11/24/2019,63.57
11/22/2019,63.58
11/21/2019,63.74
11/20/2019,62.38
11/19/2019,60.82
11/18/2019,62.31
11/17/2019,63.42
11/15/2019,63.40
11/14/2019,62.35
11/13/2019,62.37
11/12/2019,62.06
11/11/2019,62.18
11/10/2019,62.45
11/8/2019,62.51
11/7/2019,62.29
11/6/2019,61.74
11/5/2019,62.96
11/4/2019,62.13
11/3/2019,61.72
11/1/2019,61.69
10/31/2019,60.23
10/30/2019,60.61
10/29/2019,61.59
10/28/2019,61.57
10/27/2019,62.11
10/25/2019,62.02
10/24/2019,61.67
10/23/2019,61.17
10/22/2019,59.70
10/21/2019,58.96
10/20/2019,59.27
10/18/2019,59.42
10/17/2019,59.91
10/16/2019,59.42
10/15/2019,58.74
10/14/2019,59.35
10/13/2019,60.58
10/11/2019,60.51
10/10/2019,59.10
10/9/2019,58.32
10/8/2019,58.24
10/7/2019,58.35
10/6/2019,58.30
10/4/2019,58.37
10/3/2019,57.71
10/2/2019,57.69
10/1/2019,58.89
9/30/2019,60.78
9/29/2019,62.10
9/27/2019,61.91
9/26/2019,62.74
9/25/2019,62.39
9/24/2019,63.10
9/23/2019,64.77
9/22/2019,65.00
9/20/2019,64.28
9/19/2019,64.40
9/18/2019,63.60
9/17/2019,64.55
9/16/2019,69.02
9/15/2019,68.17
9/13/2019,60.22
9/12/2019,60.38
9/11/2019,60.81
9/10/2019,62.38
9/9/2019,62.59
9/8/2019,61.86
9/6/2019,61.54
9/5/2019,60.95
9/4/2019,60.70
9/3/2019,58.26
9/2/2019,58.66
8/30/2019,60.43
8/29/2019,61.08
8/28/2019,60.49
8/27/2019,59.51
8/26/2019,58.70
8/25/2019,58.49
8/23/2019,59.34
8/22/2019,59.92
8/21/2019,60.30
8/20/2019,60.03
8/19/2019,59.74
8/18/2019,59.12
8/16/2019,58.64
8/15/2019,58.23
8/14/2019,59.48
8/13/2019,61.30
8/12/2019,58.57
8/11/2019,58.25
8/9/2019,58.53
8/8/2019,57.38
8/7/2019,56.23
8/6/2019,58.94
8/5/2019,59.81
8/4/2019,61.31
8/2/2019,61.89
8/1/2019,60.50
7/31/2019,65.17
7/30/2019,64.72
7/29/2019,63.71
7/28/2019,63.18
7/26/2019,63.46
7/25/2019,63.39
7/24/2019,63.18
7/23/2019,63.83
7/22/2019,63.26
7/21/2019,63.36
7/19/2019,62.47
7/18/2019,61.93
7/17/2019,63.66
7/16/2019,64.35
7/15/2019,66.48
7/14/2019,66.74
7/12/2019,66.72
7/11/2019,66.52
7/10/2019,67.01
7/9/2019,64.16
7/8/2019,64.11
7/7/2019,64.49
7/5/2019,64.23
7/4/2019,63.30
7/3/2019,63.82
7/2/2019,62.40
7/1/2019,65.06
6/28/2019,66.55
6/27/2019,66.55
6/26/2019,66.49
6/25/2019,65.05
6/24/2019,64.86
6/23/2019,65.59
6/21/2019,65.20
6/20/2019,64.45
6/19/2019,61.82
6/18/2019,62.14
6/17/2019,60.94
6/16/2019,62.27
6/14/2019,62.01
6/13/2019,61.31
6/12/2019,59.97
6/11/2019,62.29
6/10/2019,62.29
6/7/2019,63.29
6/6/2019,61.67
6/5/2019,60.63
6/4/2019,61.97
6/3/2019,61.28
5/31/2019,61.99
5/30/2019,66.87
5/29/2019,69.45
5/28/2019,70.11
5/27/2019,70.11
5/26/2019,69.33
5/24/2019,68.69
5/23/2019,67.76
5/22/2019,70.99
5/21/2019,72.18
5/20/2019,71.97
5/19/2019,72.98
5/17/2019,72.21
5/16/2019,72.62
5/15/2019,71.77
5/14/2019,71.24
5/13/2019,70.23
5/12/2019,70.56
5/10/2019,70.62
5/9/2019,70.39
5/8/2019,70.37
5/7/2019,69.88
5/6/2019,71.24
5/5/2019,69.71
5/3/2019,70.85
5/2/2019,70.75
5/1/2019,72.18
4/30/2019,72.80
4/29/2019,72.04
4/28/2019,71.70
4/26/2019,72.15
4/25/2019,74.35
4/24/2019,74.57
4/23/2019,74.51
4/22/2019,74.04
4/21/2019,72.54
4/18/2019,71.97
4/17/2019,71.62
4/16/2019,71.72
4/15/2019,71.18
4/14/2019,71.48
4/12/2019,71.55
4/11/2019,70.83
4/10/2019,71.73
4/9/2019,70.61
4/8/2019,71.10
4/7/2019,70.75
4/5/2019,70.34
4/4/2019,69.40
4/3/2019,69.31
4/2/2019,69.37
4/1/2019,69.01
3/29/2019,68.39
3/28/2019,67.82
3/27/2019,67.83
3/26/2019,67.97
3/25/2019,67.21
3/24/2019,66.92
3/22/2019,67.03
3/21/2019,67.86
3/20/2019,68.50
3/19/2019,67.61
3/18/2019,67.54
3/17/2019,67.15
3/15/2019,67.16
3/14/2019,67.23
3/13/2019,67.55
3/12/2019,66.67
3/11/2019,66.58
3/10/2019,65.82
3/8/2019,65.74
3/7/2019,66.30
3/6/2019,65.99
3/5/2019,65.86
3/4/2019,65.67
3/3/2019,65.33
3/1/2019,65.07
2/28/2019,66.03
2/27/2019,66.39
2/26/2019,65.21
2/25/2019,64.76
2/24/2019,67.28
2/22/2019,67.12
2/21/2019,67.07
2/20/2019,67.08
2/19/2019,66.45
2/18/2019,66.50
2/17/2019,66.51
2/15/2019,66.25
2/14/2019,64.57
2/13/2019,63.61
2/12/2019,62.42
2/11/2019,61.51
2/10/2019,61.96
2/8/2019,62.10
2/7/2019,61.63
2/6/2019,62.69
2/5/2019,61.98
2/4/2019,62.51
2/3/2019,62.72
2/1/2019,62.75
1/31/2019,61.89
1/30/2019,61.65
1/29/2019,61.32
1/28/2019,59.93
1/27/2019,61.37
1/25/2019,61.64
1/24/2019,61.09
1/23/2019,61.14
1/22/2019,61.50
1/21/2019,62.74
1/20/2019,62.38
1/18/2019,62.70
1/17/2019,61.18
1/16/2019,61.32
1/15/2019,60.64
1/14/2019,58.99
1/13/2019,60.90
1/11/2019,60.48
1/10/2019,61.68
1/9/2019,61.44
1/8/2019,58.72
1/7/2019,57.33
1/4/2019,57.06
1/3/2019,55.95
1/2/2019,54.91
12/31/2018,53.80
12/28/2018,52.20
12/27/2018,52.16
12/26/2018,54.47
12/24/2018,50.47
12/23/2018,53.73
12/21/2018,53.82
12/20/2018,54.35
12/19/2018,57.24
12/18/2018,56.26
12/17/2018,59.61
12/14/2018,60.28
12/13/2018,61.45
12/12/2018,60.15
12/11/2018,60.20
12/10/2018,59.97
12/9/2018,61.97
12/8/2018,61.45
12/7/2018,61.67
12/6/2018,60.06
12/5/2018,61.56
12/4/2018,62.08
12/3/2018,61.69
11/30/2018,58.71
11/29/2018,59.51
11/28/2018,58.76
11/27/2018,60.21
11/26/2018,60.48
11/25/2018,59.14
11/23/2018,58.80
11/22/2018,62.60
11/21/2018,63.48
11/20/2018,62.53
11/19/2018,66.79
11/18/2018,67.27
11/16/2018,66.76
11/15/2018,66.62
11/14/2018,66.12
11/13/2018,65.47
11/12/2018,70.12
11/9/2018,70.18
11/8/2018,70.65
11/7/2018,72.07
11/6/2018,72.13
11/5/2018,73.17
11/4/2018,72.70
11/2/2018,72.83
11/1/2018,72.89
10/31/2018,75.47
10/30/2018,75.91
10/29/2018,77.34
10/28/2018,77.76
10/26/2018,77.62
10/25/2018,76.89
10/24/2018,76.17
10/23/2018,76.44
10/22/2018,79.83
10/21/2018,79.85
10/20/2018,79.98
10/19/2018,79.78
10/18/2018,79.29
10/17/2018,80.05
10/16/2018,81.41
10/15/2018,80.78
10/14/2018,81.81
10/12/2018,80.43
10/11/2018,80.26
10/10/2018,83.09
10/9/2018,85.00
10/8/2018,83.91
10/5/2018,84.16
10/4/2018,84.58
10/3/2018,86.29
10/2/2018,84.80
10/1/2018,84.98
9/28/2018,82.72
9/27/2018,81.72
9/26/2018,81.34
9/25/2018,81.87
9/24/2018,81.20
9/23/2018,79.90
9/21/2018,78.80
